neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,first_review,review_scores_rating,amnt_self_checkin,amnt_instant_book,amnt_kitchen,amnt_hair_dryer,amnt_free_parking,amnt_wifi,amnt_private_bathroom,amnt_bbq_grill,amnt_washer,amnt_pets_allowed,amnt_clothes_dryer,amnt_heating,amnt_air_conditioning,amnt_workspace,amnt_iron,amnt_pool,amnt_bathtub,amnt_ev_charger,amnt_crib,amnt_king_bed,amnt_gym,amnt_breakfast,amnt_fireplace,amnt_smoking_allowed,amnt_waterfront,amnt_smoke_alarm,amnt_carbon_monoxide_alarm
Katsushika Ku,Private room in home,Private room,2,0.5,1.0,2.0,9371.0,2,2024-10-27,2.0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nakano Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,18658.0,24,2024-05-21,4.71,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Edogawa Ku,Private room in home,Private room,2,0.5,1.0,0.0,9371.0,4,2024-05-19,3.5,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Katsushika Ku,Entire rental unit,Entire home/apt,8,1.0,2.0,4.0,14555.0,34,2024-05-22,4.88,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Suginami Ku,Entire rental unit,Entire home/apt,13,1.0,4.0,10.0,17363.0,16,2024-06-24,4.69,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Kita Ku,Entire home,Entire home/apt,10,1.0,4.0,6.0,40070.0,12,2024-05-25,5.0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,3,1.0,0.0,0.0,11736.0,18,2024-06-17,4.39,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Shibuya Ku,Entire rental unit,Entire home/apt,6,1.5,1.0,3.0,15640.0,22,2024-05-09,4.82,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Itabashi Ku,Entire home,Entire home/apt,3,0.5,1.0,1.0,33115.0,26,2024-06-08,4.88,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Shinjuku Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,9193.0,34,2024-05-31,4.68,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Itabashi Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7201.0,10,2024-07-16,4.9,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Katsushika Ku,Private room in home,Private room,4,1.0,1.0,0.0,6169.0,4,2024-06-15,4.5,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Mitaka Shi,Entire home,Entire home/apt,6,1.0,2.0,3.0,25000.0,4,2024-11-09,5.0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
Toshima Ku,Entire home,Entire home/apt,8,1.5,3.0,4.0,33572.0,10,2024-05-20,5.0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,13689.0,49,2024-06-01,4.88,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Shibuya Ku,Entire rental unit,Entire home/apt,3,1.5,1.0,1.0,12467.0,30,2024-05-26,4.77,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Toshima Ku,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,18866.0,18,2024-06-24,4.83,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Toshima Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,10254.0,62,2024-05-18,4.92,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Shibuya Ku,Entire rental unit,Entire home/apt,3,1.5,1.0,1.0,13253.0,24,2024-05-25,4.67,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Shibuya Ku,Entire rental unit,Entire home/apt,3,1.5,1.0,1.0,12467.0,21,2024-05-12,4.9,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Sumida Ku,Entire rental unit,Entire home/apt,5,1.0,3.0,7.0,20343.0,39,2024-05-27,4.9,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Kita Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,12066.0,31,2024-07-08,4.84,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Shinjuku Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,9529.0,38,2024-05-22,4.84,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,14079.0,43,2024-05-24,4.77,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,13350.0,41,2024-05-22,4.95,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,13,2024-07-06,4.54,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,6704.0,12,2024-08-19,4.33,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Toshima Ku,Entire home,Entire home/apt,6,1.0,3.0,12.0,25054.0,24,2024-05-31,4.54,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toshima Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,7638.0,6,2025-03-24,5.0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1
Bunkyo Ku,Entire rental unit,Entire home/apt,3,1.5,1.0,1.0,9730.0,5,2024-07-12,4.2,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Bunkyo Ku,Entire rental unit,Entire home/apt,3,1.5,1.0,1.0,9263.0,7,2024-06-03,4.43,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Itabashi Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7356.0,13,2024-05-12,5.0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Itabashi Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7560.0,13,2024-06-18,4.92,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Itabashi Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7723.0,26,2024-05-19,5.0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,14079.0,32,2024-05-27,4.91,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,12279.0,44,2024-05-26,4.8,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,14079.0,47,2024-05-25,4.83,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,13062.0,55,2024-05-26,4.87,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,2.0,14250.0,41,2024-05-23,4.83,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,9643.0,31,2024-05-21,4.87,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,22,2024-07-03,4.86,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,15,2024-06-28,4.4,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire home,Entire home/apt,7,1.5,3.0,4.0,39024.0,54,2024-05-30,4.96,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Shibuya Ku,Entire villa,Entire home/apt,8,1.5,4.0,10.0,30715.0,58,2024-07-15,4.97,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,22,2024-07-03,4.68,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Kiyose Shi,Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,7920.0,8,2024-10-16,5.0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,9500.0,9,2024-06-01,4.44,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Kita Ku,Entire home,Entire home/apt,14,1.0,3.0,9.0,32843.0,41,2024-05-21,4.85,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0
Meguro Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,13456.0,44,2024-09-08,4.48,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,7543.0,0,,,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Katsushika Ku,Entire home,Entire home/apt,10,1.0,3.0,6.0,25027.0,41,2024-09-24,4.9,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,7337.0,20,2024-10-02,4.5,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,19,2024-08-13,4.79,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,28,2024-07-02,4.64,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,19043.0,22,2024-06-30,4.5,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,20543.0,18,2024-07-17,4.78,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Kita Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,6429.0,52,2024-10-12,4.81,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Koto Ku,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,9782.0,18,2024-05-20,4.94,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,19158.0,50,2024-05-22,4.96,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Machida Shi,Private room in home,Private room,6,1.5,3.0,2.0,9859.0,14,2024-05-26,4.86,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,15284.0,44,2024-06-30,4.84,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Private room in home,Private room,1,1.0,1.0,1.0,9130.0,31,2024-05-31,4.35,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Adachi Ku,Entire home,Entire home/apt,9,2.0,4.0,0.0,23920.0,28,2024-06-21,4.79,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Sumida Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,10286.0,34,2024-06-13,4.65,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Ota Ku,Entire rental unit,Entire home/apt,4,1.0,1.0,6.0,9654.0,23,2024-05-21,4.91,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
